Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,196,4.8%,87,14.5%,90,-8.2%,,,373,3.3%,
Gender,Female,77,22.2%,36,0.0%,35,6.1%,,,148,12.1%,
,Male,119,-4.0%,51,27.5%,55,-15.4%,,,225,-1.7%,
Ethnicity,White,156,0.6%,58,18.4%,34,-8.1%,,,248,2.9%,
,Black,1,100.0%,0,-100.0%,,,,,1,0.0%,
,Hispanic,22,29.4%,3,-50.0%,1,100.0%,,,26,13.0%,
,Asian,3,-50.0%,1,100.0%,0,-100.0%,,,4,-42.9%,
,American Indian,3,200.0%,,,,,,,3,200.0%,
,International,11,37.5%,25,31.6%,52,-10.3%,,,88,3.5%,
,Unknown/Other,,,0,-100.0%,3,50.0%,,,3,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,84,31.3%,,,,,,,84,31.3%,
,22-25,100,-9.1%,41,0.0%,3,50.0%,,,144,-5.9%,
,26-30,10,11.1%,31,29.2%,37,-19.6%,,,78,-1.3%,
,31-39,1,-66.7%,11,22.2%,43,4.9%,,,55,3.8%,
,40+,1,0.0%,4,100.0%,7,-22.2%,,,12,0.0%,
Enrollment,1st Time in College,0,-100.0%,,,,,,,0,-100.0%,
Status,1st Time PB,0,-100.0%,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,2,100.0%,0,-100.0%,,,2,100.0%,
,1st Time Transfer,1,-66.7%,,,,,,,1,-66.7%,
,Readmitted,2,100.0%,,,1,100.0%,,,3,100.0%,
,Continuing,193,6.6%,85,13.3%,89,-8.2%,,,367,4.0%,
Tuition,Resident Tuition,176,4.1%,39,5.4%,17,6.3%,,,232,4.5%,
Status,Non-Resident  Tuition,13,18.2%,10,-16.7%,9,28.6%,,,32,6.7%,
,Tuition Exemption/Waiver,7,0.0%,38,40.7%,64,-14.7%,,,109,0.0%,
Residency,Texas Resident,177,2.9%,40,8.1%,18,5.9%,,,235,4.0%,
Status,"Non-TX, US Resident",7,0.0%,22,10.0%,20,-13.0%,,,49,-2.0%,
,"Non-TX, Non-US Resident",12,50.0%,25,31.6%,52,-10.3%,,,89,4.7%,
SCH,< 6 SCH,73,12.3%,30,11.1%,18,12.5%,,,121,12.0%,
Categories,6-8 SCH,81,6.6%,55,12.2%,71,-13.4%,,,207,0.0%,
,9-11 SCH,25,-16.7%,,,1,100.0%,,,26,-13.3%,
,12-14 SCH,16,6.7%,1,100.0%,,,,,17,13.3%,
,15-17 SCH,1,0.0%,,,,,,,1,0.0%,
,>17 SCH,,,1,100.0%,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,12,-20.0%,15,-11.8%,13,30.0%,,,40,-4.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","75
1","36.4%
0.0%","5
1","25.0%
100.0%",,,,,"80
2","35.6%
100.0%",
,Full-Time,108,-6.9%,66,20.0%,77,-12.5%,,,251,-3.1%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
