Top 10,,,,,,,,,
Summer 2009 Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,15526,,,,86.7%,,
India,,,560,,,,3.1%,,
"China, People's Rep of",,,530,,,,3.0%,,
"Korea, Republic of",,,252,,,,1.4%,,
Taiwan,,,129,,,,0.7%,,
Mexico,,,77,,,,0.4%,,
Iran,,,61,,,,0.3%,,
Turkey,,,54,,,,0.3%,,
Colombia,,,42,,,,0.2%,,
Saudi Arabia,,,37,,,,0.2%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2648,,,14.8%,,,,
Brazos,,1430,,,8.0%,,,,
Dallas,,758,,,4.2%,,,,
Bexar,,756,,,4.2%,,,,
Tarrant,,746,,,4.2%,,,,
Fort Bend,,675,,,3.8%,,,,
Montgomery,,478,,,2.7%,,,,
Travis,,444,,,2.5%,,,,
Collin,,419,,,2.3%,,,,
Denton,,286,,,1.6%,,,,
State,Students  % Total,,,,,,,,
Texas,14269,,,79.7%,,,,,
California,125,,,0.7%,,,,,
Louisiana,82,,,0.5%,,,,,
Florida,74,,,0.4%,,,,,
Oklahoma,59,,,0.3%,,,,,
New York,51,,,0.3%,,,,,
Pennsylvania,47,,,0.3%,,,,,
Illinois,44,,,0.2%,,,,,
Missouri,43,,,0.2%,,,,,
Colorado,36,,,0.2%,,,,,
