Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Summer 2009,,,,,,,,
Official Combined Summer DATA -- Certified,,,,,,,,
Summer 2009,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count Total,,26,45,50,46,33,200,
Gender,Female,11,26,18,21,15,91,
,Male,15,19,32,25,18,109,
SCH Categories,< 6 SCH,19,33,22,35,22,131,
,6-8 SCH,7,12,27,9,10,65,
9-11 SCH,,,,1,2,1,4,
"Prepared by OISP, 08 Sep 09",,,,,,,,
