"Summer 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARA
MARB SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
1
2
5
2
2
14
14
31","Sophomore
1
1
1
1
5
1
10
8
1
9
9
9
21
21
76","Junior
1
1
2
6
4
1
5
7
3
30
26
2
1
29
13
13
5
5
212","Senior
3
3
1
1
1
7
5
1
2
3
9
3
33
19
1
1
21
19
19
230","PB
1
1
3","Total
3
3
2
2
4
15
10
1
2
1
9
21
7
74
55
3
2
4
64
43
43
40
40
552",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,1,3,1,1,4,4,3,
,,,,,,,3,,3,,,,,3,
,,,,,,,,,1,,,,,4,
,,,,,,,,1,1,,,,,4,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,1,,1,,,,,16,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,10,
,,,,,,,,1,1,2,2,,,24,
,,,,,,,,1,1,,,,,8,
,,,,,,,1,2,3,4,4,,,81,
,,,,,,,,,,2,2,,,57,
,,,,,,,,2,2,7,7,,,12,
,,,,,,,,1,1,,,,,3,
,,,,,,,,1,1,4,4,,,9,
,,,,,,,1,4,5,,,,,5,
,,,,,,,1,8,9,13,13,,,86,
,,,,,,,,,,,,,,47,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,4,4,4,4,52,
,,,,,,,,,,,,,,40,
,,,,,,,,,,,,,,40,
,,,,,,,5,81,86,51,51,4,4,693,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
