Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,523,-9.4%,187,-11.4%,36,-7.7%,,,746,-9.8%,
Gender,Female,144,12.5%,64,-12.3%,17,-5.6%,,,225,2.7%,
,Male,379,-15.6%,123,-10.9%,19,-9.5%,,,521,-14.3%,
Ethnicity,White,427,-11.0%,70,-14.6%,9,-10.0%,,,506,-11.5%,
,Black,5,-50.0%,1,-83.3%,1,0.0%,,,7,-58.8%,
,Hispanic,59,7.3%,12,33.3%,0,-100.0%,,,71,7.6%,
,Asian,17,13.3%,7,133.3%,3,50.0%,,,27,35.0%,
,American Indian,6,0.0%,,,0,-100.0%,,,6,-14.3%,
,International,7,-12.5%,95,-14.4%,23,0.0%,,,125,-12.0%,
,Unknown/Other,2,-33.3%,2,100.0%,,,,,4,33.3%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,238,10.2%,,,,,,,238,10.2%,
,22-25,256,-19.7%,88,-9.3%,,,,,344,-17.3%,
,26-30,20,-39.4%,73,-15.1%,7,0.0%,,,100,-20.6%,
,31-39,6,-14.3%,22,0.0%,18,-21.7%,,,46,-11.5%,
,40+,2,0.0%,4,-33.3%,11,22.2%,,,17,0.0%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,0,-100.0%,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,24,166.7%,,,,,24,166.7%,
,1st Time Transfer,16,23.1%,,,,,,,16,23.1%,
,Readmitted,1,0.0%,,,,,,,1,0.0%,
,Continuing,506,-10.0%,163,-18.9%,36,-7.7%,,,705,-12.1%,
Tuition,Resident Tuition,491,-10.6%,75,-9.6%,11,-26.7%,,,577,-10.8%,
Status,Non-Resident  Tuition,9,12.5%,55,1.9%,6,100.0%,,,70,7.7%,
,Tuition Exemption/Waiver,23,15.0%,57,-23.0%,19,-9.5%,,,99,-13.9%,
Residency,Texas Resident,496,-10.6%,76,-9.5%,12,-7.7%,,,584,-10.4%,
Status,"Non-TX, US Resident",20,42.9%,15,0.0%,1,-66.7%,,,36,12.5%,
,"Non-TX, Non-US Resident",7,-12.5%,96,-14.3%,23,0.0%,,,126,-11.9%,
SCH,< 6 SCH,190,13.8%,88,-21.4%,14,-17.6%,,,292,-1.4%,
Categories,6-8 SCH,179,-8.7%,80,14.3%,19,-9.5%,,,278,-3.1%,
,9-11 SCH,88,-35.3%,17,-34.6%,1,100.0%,,,106,-34.6%,
,12-14 SCH,64,-1.5%,1,-66.7%,1,0.0%,,,66,-4.3%,
,15-17 SCH,2,-81.8%,1,100.0%,1,100.0%,,,4,-63.6%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,45,150.0%,23,-17.9%,7,-12.5%,,,75,38.9%,
"TAMU
Status","Half-Time
Three-Quarter Time",177,-4.3%,"20
1","-55.6%
-85.7%",5,-16.7%,,,"202
1","-14.4%
-85.7%",
,Full-Time,301,-19.5%,143,9.2%,24,-4.0%,,,468,-11.7%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
