"Summer 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
1
1
5
2
2
7
2
9
1
1
2
2
3
1
1
1
12","Sophomore
4
2
6
4
4
2
2
4
1
3
2
2
2
1
1
1
1
14","Junior
3
16
2
1
3
1
1
2
1
2
1
33
1
2
1
1
5
8
5
2
1
5
2
23
6
20
4
30
1
2
2
1
8
3
1
18","Senior
22
3
1
2
1
5
4
2
40
5
2
1
1
2
11
6
2
13
7
28
3
2
3
4
5
1
3
2
23",PB,"Total
3
43
5
2
2
8
2
1
6
6
1
4
1
84
1
2
1
1
5
13
13
3
1
6
4
40
12
2
42
15
71
6
1
7
6
6
17
11
3
5
1
4
67",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,2,2,1,1,,,6,
,,,,,,,,2,2,4,4,,,49,
,,,,,,,,1,1,2,2,,,8,
,,,,,,,,1,1,,,,,3,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,6,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,2,2,,,6,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,3,3,1,1,,,5,
,,,,,,,,12,12,16,16,,,112,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,1,1,,,7,
,,,,,,,,3,3,,,,,16,
,,,,,,,,1,1,,,,,14,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,,,,,3,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,4,
,,,,,,,,6,6,1,1,,,47,
,,,,,,,,17,17,25,25,,,54,
,,,,,,,,5,5,16,16,,,23,
,,,,,,,,,,6,6,,,48,
,,,,,,,,5,5,36,36,,,56,
,,,,,,,,27,27,83,83,,,181,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,9,
,,,,,,,,,,1,1,,,1,
,,,,,,,,2,2,1,1,,,9,
,,,,,,,,,,,,,,6,
,,,,,,,,2,2,2,2,,,21,
,,,,,,,,,,,,,,11,
,,,,,,,,1,1,2,2,,,6,
,,,,,,,,3,3,5,5,,,13,
,,,,,,,,,,1,1,,,2,
,,,,,,,,7,7,,,,,11,
,,,,,,,,15,15,14,14,,,96,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
