"Summer 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARA
MARB SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
3
1
4
10
13
1
3
17
4
4
7
7
83","Sophomore
1
1
1
1
4","Junior
1
1
12","Senior
1
1
1
2
5
17","PB
1","Total
2
1
1
1
4
4
4
17
13
1
3
17
4
4
8
8
117",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,4,4,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,3,3,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,6,
,,,,,,,,1,1,,,,,5,
,,,,,,,,2,2,1,1,,,7,
,,,,,,,,5,5,2,2,,,24,
,,,,,,,,,,1,1,,,14,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,2,2,,,20,
,,,,,,,,,,,,,,8,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,4,4,10,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,8,
,,,,,,,,,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,23,24,23,23,4,4,168,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
