"Spring 2008
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD GACD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
22
3
10
11
46
10
49
94
13
40
2
3
44
5
69
5
79
15
428
186
36
40
15
277
319
319
1,471
1,471
1
1
4,603","Sophomore
26
5
21
26
78
23
100
192
50
88
2
14
118
5
137
10
204
39
982
213
36
44
21
314
291
291
1,208
1,208
1
1
6,442","Junior
25
15
36
47
123
22
94
265
117
156
7
17
166
27
198
15
242
84
1,410
234
50
1
52
17
354
231
231
165
165
7,299","Senior
32
18
56
52
158
44
104
285
149
222
13
11
232
36
216
17
263
107
1,699
306
56
69
24
455
320
320
6
6
1
1
8,895","PB
3
1
4
1
1
4
1
5
62","Total
108
41
123
137
409
99
347
836
329
506
24
45
561
73
620
47
788
245
4,520
943
178
1
206
77
1,405
1,161
1,161
2,850
2,850
2
1
3
27,301",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,19,19,6,6,442,442,133,
,,,,,,,,3,3,,,,,44,
,,,,,,,,8,10,11,11,,,144,
,,,,,,,5,26,31,12,12,,,180,
,,,,,,,,20,20,17,17,,,37,
,,,,,,,7,76,83,46,46,,,538,
,,,,,,,,46,46,31,31,,,176,
,,,,,,,,4,4,,,,,351,
,,,,,,,,13,13,38,38,,,887,
,,,,,,,,12,12,9,9,,,350,
,,,,,,,1,27,28,53,53,,,587,
,,,,,,,,,,,,,,24,
,,,,,,,,5,5,8,8,,,58,
,,,,,,,6,12,18,37,37,,,616,
,,,,,,,2,13,15,4,4,,,92,
,,,,,,,,9,9,24,24,,,653,
,,,,,,,,,,,,,,47,
,,,,,,,1,20,21,25,25,,,834,
,,,,,,,,7,7,20,20,,,272,
,,,,,,,10,168,178,249,249,,,"4,947",
,,,,,,,1,19,20,29,29,,,992,
,,,,,,,1,54,55,42,42,,,275,
,,,,,,,,,,,,,,1,
,,,,,,,6,28,34,18,18,,,258,
,,,,,,,,22,22,21,21,,,120,
,,,,,,,6,30,36,13,13,,,49,
,,,,,,,14,153,167,123,123,,,"1,695",
,,,,,,,,8,8,,,,,"1,611",
,,,,,,,1,10,11,12,12,,,23,
,,,,,,,,4,4,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,14,14,10,10,,,24,
,,,,,,,,7,7,3,3,,,10,
,,,,,,,1,44,45,25,25,442,442,"1,673",
,,,,,,,,,,,,,,"2,850",
,,,,,,,,,,,,,,"2,850",
,,,,,,,1,,1,,,,,1,
,,,,,,,1,81,82,48,48,,,130,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,14,,14,,,,,14,
,,,,,,,16,82,98,48,48,,,149,
,,,,,,,220,"2,501","2,721","1,239","1,239",442,442,"31,703",
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
