"Spring 2008
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD GACD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
3","Sophomore
1
1
1
1
3
7
1
1
1
1
2
2
29","Junior
1
1
1
1
3
1
6
25","Senior
1
1
2
4
24","PB
1","Total
1
1
2
1
1
3
1
2
7
1
18
1
1
1
1
2
2
82",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,2,2,7,7,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,3,3,,,6,
,,,,,,,,1,1,3,3,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,5,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,2,2,,,4,
,,,,,,,,,,,,,,7,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,4,4,9,9,,,31,
,,,,,,,,,,,,,,1,
,,,,,,,,,,3,3,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,4,4,,,6,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,7,7,10,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,2,,,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,1,,1,,,,,1,
,,,,,,,3,1,4,1,1,,,5,
,,,,,,,5,31,36,36,36,7,7,161,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
