"Spring 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
3
1
1
1
1
1
1
1
1
1
1
2
6","Sophomore
1
1
1
2
1
6
2
2
6
6
1
1
1
2
2
1
3
1
10","Junior
1
4
1
2
2
1
11
1
1
2
3
1
2
2
8
1
2
2
5
1
2
2
1
6","Senior
2
4
1
1
1
1
10
2
2
1
5
1
1
1
1
4
2
1
5
1
9
1
2
1
2
2
8","PB
1
1","Total
4
5
6
1
2
1
3
2
2
3
2
31
4
1
4
1
10
4
8
3
3
1
19
3
2
8
3
16
4
2
5
2
6
2
5
3
1
30",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,4,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,1,1,,,5,
,,,,,,,,5,5,2,2,,,38,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,11,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,21,
,,,,,,,,,,,,,,3,
,,,,,,,,,1,2,2,,,3,
,,,,,,,,,,1,1,,,3,
,,,,,,,,1,1,,,,,9,
,,,,,,,,2,2,1,1,,,6,
,,,,,,,1,3,4,4,4,,,24,
,,,,,,,,,,,,,,4,
,,,,,,,,,,1,1,,,3,
,,,,,,,,1,1,,,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,3,
,,,,,,,1,,1,,,,,2,
,,,,,,,1,1,2,2,2,,,34,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
