Spring 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,33,34,2,1,2,5,4,3,1,2,27,32,2,3,69,75,144,
,COMG,5,13,,1,1,1,,1,,,19,47,,,25,63,88,
,COSC,35,327,1,4,2,38,1,4,,,,,,,39,378,417,
,COSL,23,158,2,1,4,21,,5,1,1,1,1,,,31,187,218,
,ENDL,107,123,2,5,19,35,3,3,2,,4,3,,,139,169,308,
,ENDS,102,90,2,2,10,18,13,5,1,1,,2,1,,129,118,247,
,LAND,23,55,,1,4,5,1,1,,1,9,1,,1,37,65,102,
,LANL,22,29,,1,3,8,4,,,,,,,,29,38,67,
,LDEV,3,13,,1,,1,,1,,,,7,,,3,23,26,
,URPL,9,9,,,1,1,,,,,10,10,,,20,20,40,
,URSC,10,19,1,,4,2,1,1,,,10,20,,,26,42,68,
,USAR,5,5,,,1,1,1,1,,1,,,,,7,8,15,
,VIZA,10,29,1,,2,5,1,4,,,3,5,,1,17,44,61,
,Subtotal,387,904,11,17,53,141,29,29,5,6,83,128,3,5,571,"1,230",1801,
Business,ACCT,373,287,9,4,34,33,21,19,3,1,7,7,2,1,449,352,801,
Admin,AGBU,2,5,,,,1,,,,,,,,,2,6,8,
,BUAD,683,622,31,17,117,67,39,32,4,4,12,14,,3,886,759,1645,
,BUAG,1,1,,,,,,,,,,,,,1,1,2,
,EMBA,12,54,2,3,3,8,1,5,,,1,5,1,2,20,77,97,
,FINC,262,435,5,7,28,36,17,27,2,2,8,12,2,2,324,521,845,
,INFO,28,84,4,3,5,18,2,9,,,,3,,2,39,119,158,
,MGMT,137,151,3,2,24,22,11,6,1,2,6,4,,1,182,188,370,
,MISY,10,32,,,,2,,,,1,25,42,,,35,77,112,
,MKTG,392,116,10,4,29,12,9,5,1,,8,10,,,449,147,596,
,MLER,14,38,1,,1,4,1,,,,,,,1,17,43,60,
,USBU,7,10,1,,,3,1,1,,,,,,,9,14,23,
,Subtotal,"1,921","1,835",66,40,241,206,102,104,11,10,67,97,5,12,"2,413","2,304",4717,
Education,CPSY,14,8,6,3,5,3,2,1,,,2,,1,,30,15,45,
,EDAD,104,72,17,15,38,17,1,,1,2,4,,1,2,166,108,274,
,EDCI,230,58,37,9,28,12,6,2,1,2,29,11,1,,332,94,426,
,EDHL,268,23,9,2,36,13,9,1,1,,1,,,,324,39,363,
,EDIS,561,22,16,6,69,3,10,,2,,1,,1,,660,31,691,
,EDKI,331,195,9,12,40,34,5,7,,,1,,,2,386,250,636,
,EDSM,76,172,4,14,9,23,1,3,1,1,,,,1,91,214,305,
,EDTC,14,8,,,4,,,,,,7,1,,,25,9,34,
,EHRD,60,25,16,6,20,10,2,2,,,11,3,2,,111,46,157,
,EPSY,89,10,7,1,19,2,,,,1,21,7,,,136,21,157,
,HEED,11,2,7,,1,,2,,1,,1,2,,,23,4,27,
,HLTH,104,16,5,2,13,1,,,3,,1,,,,126,19,145,
,HRDL,12,3,2,1,1,1,1,,,,,,,,16,5,21,
,HRDV,12,2,1,,3,1,,,,,,,,,16,3,19,
,INST,763,22,6,2,88,10,12,1,3,,4,,3,,879,35,914,
,ISNC,157,96,7,6,24,17,5,7,1,2,,2,3,1,197,131,328,
,KINE,166,127,6,1,10,18,4,3,,1,6,19,1,2,193,171,364,
,PHED,3,2,,,,,,,,,1,,,,4,2,6,
,SPMT,81,124,3,3,5,12,1,2,,1,,1,,,90,143,233,
,SPSY,19,6,8,,8,5,4,,,,1,,,,40,11,51,
,TCMG,,1,,,,1,,1,,,,,,,,3,3,
,TCML,1,6,,,,1,1,,,,,,,,2,7,9,
,TECR,7,6,,1,,,,,,,,,,,7,7,14,
,USEH,1,,,,,,,,,,,,,,1,,1,
,Subtotal,"3,084","1,006",166,84,421,184,66,30,14,10,91,46,13,8,"3,855","1,368",5223,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,
