Spring 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Agriculture         AGBL
AGBU AGCJ AGEC AGED AGEN AGLS AGRO AGSC AGSM ALED ANBR ANSC BAEN BESC BICH BSEN CDEV DASC ECOR ENST ENTO FISC FIVL FLOR FORS FSTC GENE HORT NRDV NUSC NUTR PLBR PLPA POSC PREP PSSC RENR RLEM RPTS SOSC SPSA USAL WFSC WISC",,"51
33
83
78
43
7
111
12
56
5
209
2
441
17
57
79
1
1
2
2
4
48
2
2
4
44
53
91
3
354
3
2
8
56
11
4
36
156
7
7
3
158
8","76
70
11
269
35
38
156
93
34
114
371
2
250
52
51
72
4
1
2
5
6
38
1
23
24
34
57
4
51
7
1
78
6
1
20
93
133
6
34
10
229
4","1
2
5
12
1
12
6
11
9
1
2
2
2
2
11
1
1
7
1
4","1
1
6
1
27
2
2
34
1
3
2
1
2
1
1
1
1
3
1
1
1
2
5
1
5","3
1
11
7
1
26
2
2
2
20
59
2
17
17
1
1
18
14
10
9
71
2
7
1
1
8
23
3
35","5
2
1
18
6
2
27
4
5
8
36
30
5
18
12
1
1
1
12
5
9
9
18
2
2
8
2
9
9
1
31","2
1
6
2
1
5
1
5
17
1
4
9
20
1
1
5","1
4
4
7
1
3
7
13
3
1
1
3
7
2
1
1
2
1","3
1
1
1
2
5
1
3
1
2
4","1
1
2
3
2
1
1
1
1
1","3
21
5
1
1
1
2
11
1
26
4
1
2
2
3
8
1
4
1
4
3
3
4
1
2
26
1
11","2
4
43
3
2
5
1
5
25
25
1
5
3
1
2
9
1
2
5
5
7
1
3
6
7
6","1
1
3
1
2
1
1
2","4
1
1
2
1
2
2
1","54
37
95
114
50
9
161
19
59
7
245
2
521
31
91
148
1
1
2
3
6
75
4
3
8
66
77
108
4
464
4
7
13
69
17
2
4
46
217
8
10
4
217
8","84
76
12
333
50
41
221
107
39
129
452
2
289
88
78
125
4
1
4
6
7
60
1
1
26
32
49
80
4
80
2
15
10
99
9
1
23
108
156
13
36
11
272
4","138
113
107
447
100
50
382
126
98
136
697
4
810
119
169
273
5
2
6
9
13
135
1
4
4
34
98
126
188
8
544
6
22
23
168
26
3
27
154
373
21
46
15
489
12",
,Subtotal,"2,354","2,566",93,106,374,299,81,62,24,14,153,179,12,14,"3,091","3,240",6331,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
