Spring 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Engineering        AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG",,"33
32
54
68
7
6
1
61
70
11
12
40
108
16
24
7
10
4
26
53
17
43
1
42
69
9
15
5
17
34
34
6
5
1","166
219
69
78
75
80
37
52
144
201
1
153
125
123
409
138
224
2
148
125
8
91
248
71
146
2
249
556
73
99
47
122
226
134
7
1","3
5
2
1
1
1
1
1
2
1
1
2
3
5
1
1
1
4
5
1
1
6
1
1
2
1","9
5
6
2
5
5
4
1
8
3
5
2
5
6
15
9
4
4
1
4
5
6
2
3
14
2
3
2
11
2","13
6
7
10
3
1
5
2
17
16
2
1
7
15
5
7
5
5
1
7
7
9
20
3
8
2
1
3
5
5
1
3","49
26
11
11
21
12
14
9
26
26
16
17
30
67
33
40
25
24
2
14
28
16
47
44
65
7
7
7
21
24
12
5","2
1
5
8
3
12
13
3
1
2
5
7
2
2
3
1
5
2
3
2
1
2
3
1","9
8
10
17
10
12
8
15
10
15
1
13
3
9
18
19
25
9
10
11
4
10
9
35
6
6
2
6
17
5
2
1","1
1
1
2
1
2","1
1
1
1
1
1
1
1
1
1
2
2
2
2
4
1
1
1
1","1
6
2
10
10
16
37
25
1
1
37
4
48
1
1
2
37
1
44
5
1
33
6
1","3
46
2
34
1
39
6
58
9
90
4
106
7
1
151
12
269
3
2
1
1
6
135
5
191
3
19
1
32
145
30
1","1
1
1","1
3
1
1
1
1
2
2
1
1
1
3
2
1
1","52
46
73
98
14
18
6
20
93
139
42
15
52
169
35
86
13
18
5
35
65
33
111
2
49
130
11
25
6
23
76
48
9
8
2","236
305
98
145
114
149
70
135
199
337
6
296
157
169
652
217
569
5
188
165
11
112
294
104
342
2
313
868
94
134
57
184
425
185
14
2
1","288
351
171
243
128
167
76
155
292
476
6
338
172
221
821
252
655
5
201
183
16
147
359
137
453
4
362
998
105
159
63
207
501
233
23
10
3",
,Subtotal,941,"4,649",54,153,202,756,89,335,8,26,330,"1,413",3,22,"1,627","7,354",8981,
G. Bush,BUSH,28,28,3,2,3,3,1,3,,1,4,4,1,1,35,37,72,
School of,CAIA,11,44,,2,1,6,,,,,1,,,,18,56,74,
Govt,CHLS,9,18,,1,1,3,,,,,,,,,10,22,32,
,CNPM,4,1,,,,,,,,,,,,,4,1,5,
,INTA,24,37,2,1,2,1,2,,,,3,7,,2,33,49,82,
,Subtotal,76,128,5,6,7,13,3,3,,1,8,11,1,3,100,165,265,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,
