"Spring 2008
Agriculture             AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                   Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
698
995
853
310
399
411
139
268
193
641
205
168
376
168
507
6,331
699
15
723
303
61
1,801
801
1,775
905
270
370
596
4,717
373
439
521
2,079
1,811
5,223
639
414
770
10
808
1,312
1,141
890
590
1,360
313
734
8,981
265
265",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,162,415,2,2,11,25,2,1,3,1,24,49,1,,205,493,,
,386,450,17,40,33,48,1,7,3,3,2,4,1,,443,552,,
,459,260,7,2,61,31,5,2,5,2,7,9,3,,547,306,,
,30,208,,6,5,15,2,7,,,11,25,,1,48,262,,
,132,106,9,2,27,21,26,14,,1,29,27,2,3,225,174,,
,121,169,14,28,26,27,6,4,1,1,7,3,,4,175,236,,
,50,38,4,2,18,12,1,3,1,,4,5,1,,79,60,,
,52,174,2,2,12,13,,2,,,4,6,,1,70,198,,
,93,57,,2,9,9,,3,,1,9,10,,,111,82,,
,398,75,13,4,84,23,24,8,3,,6,2,1,,529,112,,
,69,58,12,2,20,21,5,7,,,4,5,,2,110,95,,
,56,78,1,1,7,8,1,2,1,1,3,7,,2,69,99,,
,157,135,7,5,23,9,1,2,2,1,26,6,2,,218,158,,
,20,107,1,3,3,6,2,,1,2,6,15,1,1,34,134,,
,169,236,4,5,35,31,5,,4,1,11,6,,,228,279,,
,"2,354","2,566",93,106,374,299,81,62,24,14,153,179,12,14,"3,091","3,240",,
,242,247,6,8,31,58,20,11,4,1,31,37,3,,337,362,,
,5,5,,,1,1,1,1,,1,,,,,7,8,,
,63,498,3,6,7,60,1,10,1,3,20,48,,3,95,628,,
,67,125,1,3,12,17,6,3,,1,29,38,,1,115,188,,
,10,29,1,,2,5,1,4,,,3,5,,1,17,44,,
,387,904,11,17,53,141,29,29,5,6,83,128,3,5,571,"1,230",,
,373,287,9,4,34,33,21,19,3,1,7,7,2,1,449,352,,
,705,692,34,20,120,79,41,38,4,4,13,19,1,5,918,857,,
,276,473,6,7,29,40,18,27,2,2,8,12,2,3,341,564,,
,38,116,4,3,5,20,2,9,,1,25,45,,2,74,196,,
,137,151,3,2,24,22,11,6,1,2,6,4,,1,182,188,,
,392,116,10,4,29,12,9,5,1,,8,10,,,449,147,,
,"1,921","1,835",66,40,241,206,102,104,11,10,67,97,5,12,"2,413","2,304",,
,177,107,10,7,27,21,7,8,1,2,,2,3,1,225,148,,
,170,98,33,21,59,27,3,2,1,2,15,3,3,2,284,155,,
,281,35,26,7,101,18,7,1,2,1,32,8,2,,451,70,,
,"1,040",661,43,34,114,101,22,16,6,3,11,22,1,5,"1,237",842,,
,"1,416",105,54,15,120,17,27,3,4,2,33,11,4,,"1,658",153,,
,"3,084","1,006",166,84,421,184,66,30,14,10,91,46,13,8,"3,855","1,368",,
,65,385,3,14,19,75,3,17,,,7,49,1,1,98,541,,
,122,147,7,8,17,22,13,27,,,12,36,,3,171,243,,
,132,345,3,11,33,52,25,25,2,2,37,100,1,2,233,537,,
,1,4,1,,,,,,,,1,3,,,3,7,,
,36,433,3,17,7,66,7,39,,3,36,155,,6,89,719,,
,170,701,4,13,26,125,8,35,3,3,39,185,,,250,"1,062",,
,41,452,10,29,19,96,9,67,,2,68,347,,1,147,994,,
,96,612,3,17,24,91,5,30,1,5,2,4,,,131,759,,
,60,217,9,8,29,63,6,14,,2,39,141,1,1,144,446,,
,111,805,7,17,11,109,5,44,,6,45,196,,4,179,"1,181",,
,39,188,2,6,7,21,3,15,2,1,5,22,,2,58,255,,
,68,360,2,13,10,36,5,22,,2,39,175,,2,124,610,,
,941,"4,649",54,153,202,756,89,335,8,26,330,"1,413",3,22,"1,627","7,354",,
,76,128,5,6,7,13,3,3,,1,8,11,1,3,100,165,,
,76,128,5,6,7,13,3,3,,1,8,11,1,3,100,165,,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,
