"Spring 2008
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD GACD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
4
4
1
3
4
1
7
3
27
16
2
4
1
23
17
17
90
90
246","Sophomore
1
1
1
3
5
2
1
12
2
7
6
39
13
1
1
15
12
12
65
65
264","Junior
1
1
2
1
5
2
14
5
10
10
6
55
9
6
15
3
3
10
10
271","Senior
1
2
8
2
9
3
5
9
1
17
8
65
11
3
1
15
15
15
249","PB
1
1
2","Total
1
1
1
3
4
10
22
4
26
3
14
35
4
41
23
186
50
12
6
1
69
47
47
165
165
1,032",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,3,3,1,1,,,7,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,10,
,,,,,,,,,,2,2,,,24,
,,,,,,,,,,,,,,4,
,,,,,,,,3,4,2,2,,,32,
,,,,,,,,,,,,,,3,
,,,,,,,,,,2,2,,,16,
,,,,,,,,3,3,2,2,,,40,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,6,6,,,48,
,,,,,,,2,7,9,11,11,,,43,
,,,,,,,3,14,17,25,25,,,228,
,,,,,,,,1,1,1,1,,,52,
,,,,,,,,3,3,,,,,15,
,,,,,,,,1,1,,,,,7,
,,,,,,,,1,1,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,8,8,1,1,,,78,
,,,,,,,,,,,,,,48,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,1,1,1,1,51,
,,,,,,,,,,,,,,165,
,,,,,,,,,,,,,,165,
,,,,,,,,3,3,4,4,,,7,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,3,5,4,4,,,9,
,,,,,,,18,116,134,172,172,1,1,"1,339",
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
