"Spring 2008
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD GACD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
1
1
5
1
11
12
3
9
11
16
2
22
5
92
68
10
6
84
51
51
278
278
863","Sophomore
4
2
4
10
7
19
19
7
13
7
14
3
27
8
45
2
171
46
5
7
2
60
72
72
232
232
1,073","Junior
7
1
3
11
7
22
32
17
31
3
11
24
2
42
3
56
17
267
45
1
7
4
57
47
47
34
34
1
1
1,189","Senior
9
1
4
3
17
4
27
17
35
23
22
30
3
39
8
41
27
276
57
15
10
5
87
64
64
2
2
1,253","PB
7","Total
23
3
9
8
43
19
79
80
62
76
3
40
79
8
124
21
164
51
806
216
31
30
11
288
234
234
546
546
1
1
4,385",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,3,3,35,35,25,
,,,,,,,,,,,,,,3,
,,,,,,,,3,3,,,,,12,
,,,,,,,,2,2,,,,,10,
,,,,,,,,2,2,,,,,2,
,,,,,,,,9,9,,,,,52,
,,,,,,,,5,5,,,,,27,
,,,,,,,,,,,,,,79,
,,,,,,,,3,3,3,3,,,86,
,,,,,,,,4,4,,,,,66,
,,,,,,,,1,1,1,1,,,78,
,,,,,,,,,,,,,,3,
,,,,,,,,5,5,11,11,,,56,
,,,,,,,,2,2,1,1,,,82,
,,,,,,,,1,1,1,1,,,10,
,,,,,,,,2,2,4,4,,,130,
,,,,,,,,,,,,,,21,
,,,,,,,,6,6,8,8,,,178,
,,,,,,,,12,12,10,10,,,73,
,,,,,,,,41,41,42,42,,,889,
,,,,,,,,1,1,2,2,,,219,
,,,,,,,,6,6,12,12,,,49,
,,,,,,,,2,3,2,2,,,35,
,,,,,,,,3,3,4,4,,,18,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,1,13,14,21,21,,,323,
,,,,,,,,1,1,,,,,270,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,4,4,,,5,
,,,,,,,,3,3,4,4,35,35,276,
,,,,,,,,,,,,,,546,
,,,,,,,,,,,,,,546,
,,,,,,,,9,9,5,5,,,14,
,,,,,,,,,,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,9,10,5,5,,,16,
,,,,,,,26,305,331,248,248,35,35,"4,999",
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
