Top 10,,,,,,,,,
Spring 2008  Feeder Patterns Texas A&M University Campus,,,,,,,,,
State,Students  % Total,,,,,,,,
Texas,37858,,,86.5%,,,,,
Louisiana,198,,,0.5%,,,,,
California,195,,,0.4%,,,,,
Florida,117,,,0.3%,,,,,
Virginia,99,,,0.2%,,,,,
Illinois,97,,,0.2%,,,,,
Oklahoma,97,,,0.2%,,,,,
New Mexico,84,,,0.2%,,,,,
Colorado,83,,,0.2%,,,,,
Missouri,75,,,0.2%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,40167,,,,91.8%,,
India,,,912,,,,2.1%,,
"China, People's Rep of",,,664,,,,1.5%,,
"Korea, Republic of",,,477,,,,1.1%,,
Taiwan,,,190,,,,0.4%,,
Mexico,,,115,,,,0.3%,,
Turkey,,,76,,,,0.2%,,
Kazakhstan,,,58,,,,0.1%,,
Nigeria,,,54,,,,0.1%,,
Indonesia,,,54,,,,0.1%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,6934,,,15.8%,,,,
Brazos,,2803,,,6.4%,,,,
Dallas,,2311,,,5.3%,,,,
Tarrant,,2106,,,4.8%,,,,
Bexar,,2090,,,4.8%,,,,
Fort Bend,,1732,,,4.0%,,,,
Montgomery,,1283,,,2.9%,,,,
Travis,,1231,,,2.8%,,,,
Collin,,1214,,,2.8%,,,,
Denton,,854,,,2.0%,,,,
