"Spring 2008
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD GACD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
2
2
1
1
4
1
1
2
1
1
18
18
17
17
91","Sophomore
3
3
2
1
1
4
1
1
2
8
8
9
9
104","Junior
1
3
4
1
1
5
1
8
3
1
1
5
1
1
9
9
119","Senior
1
1
1
2
2
1
1
7
3
3
2
8
1
1
8
8
164","PB
3","Total
1
1
8
10
1
7
2
9
2
1
1
23
7
3
3
4
17
2
2
27
27
43
43
481",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,6,6,17,17,,,24,
,,,,,,,,,,,,,,1,
,,,,,,,,4,4,20,20,,,24,
,,,,,,,,15,15,18,18,,,41,
,,,,,,,,6,7,20,20,,,27,
,,,,,,,1,31,32,75,75,,,117,
,,,,,,,,6,6,9,9,,,16,
,,,,,,,,,,,,,,7,
,,,,,,,,4,4,6,6,,,12,
,,,,,,,,39,39,45,45,,,93,
,,,,,,,,4,4,24,24,,,28,
,,,,,,,,,,,,,,2,
,,,,,,,,3,3,,,,,3,
,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,10,10,,,12,
,,,,,,,,1,1,6,6,,,8,
,,,,,,,,2,2,6,6,,,9,
,,,,,,,,62,62,108,108,,,193,
,,,,,,,,8,8,23,23,,,38,
,,,,,,,,61,61,42,42,,,106,
,,,,,,,,14,14,40,40,,,57,
,,,,,,,,20,20,54,54,,,78,
,,,,,,,,31,31,31,31,,,62,
,,,,,,,,134,134,190,190,,,341,
,,,,,,,,,,1,1,,,3,
,,,,,,,,6,6,5,5,,,11,
,,,,,,,,3,3,,,,,3,
,,,,,,,,,,10,10,,,10,
,,,,,,,,2,2,6,6,,,8,
,,,,,,,,11,11,22,22,,,35,
,,,,,,,,,,,,,,27,
,,,,,,,,,,,,,,27,
,,,,,,,10,,10,,,,,10,
,,,,,,,,69,69,82,82,,,151,
,,,,,,,7,,7,,,,,50,
,,,,,,,3,,3,,,,,3,
,,,,,,,20,69,89,82,82,,,214,
,,,,,,,34,"1,557","1,591","1,461","1,461",,,"3,533",
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
