"Spring 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
6
4
1
12
1
1
3
5
20
20
1
7
4
12
3
5
9
6
5
4
1
3
4
5
45","Sophomore
1
5
2
1
6
1
1
17
3
3
6
37
37
11
2
13
6
7
14
7
10
26
4
7
12
4
7
104","Junior
1
4
3
15
4
3
2
2
7
3
2
1
1
1
49
6
2
2
2
12
21
12
12
7
4
7
63
5
5
7
17
6
9
17
13
7
17
9
2
8
1
8
97","Senior
1
7
1
3
12
4
1
15
8
1
1
54
14
4
2
20
15
21
4
8
4
52
9
1
12
9
31
3
14
8
9
10
21
21
5
13
5
7
116","PB
1
1","Total
3
7
6
7
38
10
4
2
3
32
12
3
2
1
3
133
24
2
10
7
43
36
69
33
11
12
11
172
15
1
35
22
73
18
35
48
35
32
68
35
17
37
15
22
362",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,3,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,,,,,7,
,,,,,,,,1,1,,,,,9,
,,,,,,,,,,2,2,,,40,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,32,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,3,
,,,,,,,,,1,,,,,3,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,1,1,1,,,5,
,,,,,,,1,5,6,4,4,,,143,
,,,,,,,1,3,4,3,3,,,31,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,11,
,,,,,,,,1,1,1,1,,,9,
,,,,,,,,5,5,,,,,5,
,,,,,,,1,10,11,4,4,,,58,
,,,,,,,,3,3,1,1,,,40,
,,,,,,,,10,10,,,,,79,
,,,,,,,,12,12,,,,,45,
,,,,,,,,,,,,,,11,
,,,,,,,,5,5,,,,,17,
,,,,,,,,2,2,1,1,,,14,
,,,,,,,,32,32,2,2,,,206,
,,,,,,,,,,,,,,15,
,,,,,,,2,,2,3,3,,,5,
,,,,,,,,1,1,6,6,,,8,
,,,,,,,,2,2,1,1,,,38,
,,,,,,,,5,5,3,3,,,30,
,,,,,,,2,8,10,13,13,,,96,
,,,,,,,1,,1,1,1,,,20,
,,,,,,,,3,3,2,2,,,40,
,,,,,,,,2,2,,,,,50,
,,,,,,,,5,5,6,6,,,46,
,,,,,,,,5,5,6,6,,,43,
,,,,,,,,5,5,3,3,,,76,
,,,,,,,,,,,,,,35,
,,,,,,,,3,3,,,,,20,
,,,,,,,1,11,12,,,,,49,
,,,,,,,,2,2,1,1,,,18,
,,,,,,,,4,4,1,1,,,27,
,,,,,,,2,40,42,20,20,,,424,
,,,,,,,4,2,6,,,,,6,
,,,,,,,4,2,6,,,,,6,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
