"Spring 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2","Sophomore
1
1
1
1
4
1
1
2
1
1
4
1
1
1
1
2
1
1
1
9","Junior
1
2
1
1
5
1
1
1
1
2
1
5
1
1
2
1
1
1
1
1
5","Senior
1
1
2
1
5
1
3
4
2
2
2
1
2
1
6
2
1
3","PB
1
1","Total
1
2
1
4
4
1
1
1
15
3
3
6
3
1
2
1
7
4
1
4
3
12
1
3
3
3
1
2
3
2
1
19",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,4,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,1,1,,,2,
,,,,,,,,6,6,5,5,,,26,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,,,8,
,,,,,,,,,,,,,,3,
,,,,,,,,5,5,,,,,6,
,,,,,,,,3,3,,,,,5,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,8,8,2,2,,,17,
,,,,,,,,,,,,,,4,
,,,,,,,,,,5,5,,,5,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,2,2,,,6,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,9,9,,,21,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,2,2,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,2,
,,,,,,,,3,3,3,3,,,25,
,,,,,,,,2,4,,,,,4,
,,,,,,,2,2,4,,,,,4,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
