Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Spring 2008,,,,,,,,,,,,
Enrollment Profile – Spring 2008 Official Certified 12th Class Day Data,,,,,,,,,,,,
Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"13,088",1.0%,"1,222",5.3%,610,-3.2%,324,-1.5%,"15,244",1.1%,
,Black,559,4.3%,73,2.8%,113,5.6%,,,745,4.3%,
,Hispanic,"2,126",7.0%,152,6.3%,137,0.7%,26,0.0%,"2,441",6.5%,
,Asian,702,13.8%,62,-4.6%,35,2.9%,16,33.3%,815,12.0%,
,American Indian,104,15.6%,10,42.9%,9,-10.0%,2,100.0%,125,15.7%,
,International,157,-4.8%,515,27.2%,437,-5.4%,,,"1,109",7.5%,
,Unknown/Other,34,-19.0%,13,62.5%,12,-20.0%,6,20.0%,65,-7.1%,
,Subtotal,"16,770",2.2%,"2,047",10.1%,"1,353",-2.9%,374,0.3%,"20,544",2.6%,
Male,White,"14,213",2.5%,"1,499",12.4%,629,-7.9%,118,0.9%,"16,459",2.9%,
,Black,473,8.0%,61,-6.2%,59,25.5%,1,-50.0%,594,7.6%,
,Hispanic,"2,259",9.0%,179,11.9%,111,3.7%,9,12.5%,"2,558",8.9%,
,Asian,844,13.0%,77,-9.4%,43,-4.4%,2,-50.0%,966,9.6%,
,American Indian,93,-1.1%,9,28.6%,8,14.3%,,,110,1.9%,
,International,324,1.3%,"1,076",22.8%,"1,024",-11.3%,,,"2,424",3.1%,
,Unknown/Other,48,-14.3%,23,0.0%,24,-11.1%,1,0.0%,96,-10.3%,
,Subtotal,"18,254",3.8%,"2,924",14.7%,"1,898",-8.4%,131,-0.8%,"23,207",3.8%,
Grand Total,,"35,024",3.0%,"4,971",12.7%,"3,251",-6.2%,505,0.0%,"43,751",3.2%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
