Students by Country by Level,,,,,,
Spring 2008,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,2,,,3,
Albania,,1,,,1,
Angola,7,,,,7,
Antigua and Barbuda,,,1,,1,
Argentina,1,1,1,,3,
Armenia,,,3,,3,
Australia,3,1,,,4,
Austria,1,,1,,2,
Azerbaijan,,2,,,2,
Bahrain,,1,1,,2,
Bangladesh,2,10,10,,22,
Barbados,1,,1,,2,
Belarus,1,,3,,4,
Belgium,3,1,,,4,
Belize (British Honduras),1,1,,,2,
Bhutan,,,1,,1,
Bolivia,6,3,3,,12,
Botswana,,,2,,2,
Brazil,5,11,18,,34,
Bulgaria,1,,4,,5,
Burma (Myanmar),,,1,,1,
Cameroon,6,2,1,,9,
Canada,13,5,20,,38,
Cayman Islands,1,,,,1,
Chile,,2,6,,8,
"China, People's Rep of",21,289,354,,664,
Colombia,6,17,27,,50,
Costa Rica,5,1,,,6,
Cote d'Ivoire (Ivory Coast),3,1,,,4,
Croatia,1,,,,1,
Cyprus,1,1,,,2,
Dem Republic of Congo (Ziare),,,1,,1,
Denmark,,,1,,1,
Dominica,,,1,,1,
Dominican Republic,2,,1,,3,
Ecuador,1,8,9,,18,
Egypt (A.R.E.),2,4,12,,18,
El Salvador,6,1,1,,8,
England,1,,,,1,
Equatorial Guinea,5,,,,5,
Eritrea,1,,,,1,
Estonia,1,,,,1,
Ethiopia,2,2,1,,5,
France,13,7,9,,29,
Gabon Republic,2,,,,2,
