"Spring 2008
Agriculture             AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin     ACCT
AGEC CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,577,9.1%,4,33.3%,36,16.1%,3,50.0%,,4,33.3%,73,14.1%,,1,0.0%,698,10.3%,
,836,0.6%,57,-20.8%,81,9.5%,8,0.0%,,6,-25.0%,6,-25.0%,,1,0.0%,995,-0.7%,
,719,-1.0%,9,-18.2%,92,33.3%,7,40.0%,,7,0.0%,16,6.7%,,3,50.0%,853,2.2%,
,238,-1.2%,6,-14.3%,20,11.1%,9,50.0%,,0,-100.0%,36,5.9%,,1,-50.0%,310,-0.3%,
,238,-2.5%,11,10.0%,48,0.0%,40,-14.9%,,1,-50.0%,56,-8.2%,,5,-28.6%,399,-4.8%,
,290,16.0%,42,40.0%,53,-5.4%,10,-23.1%,,2,100.0%,10,66.7%,,4,100.0%,411,14.8%,
,88,-11.1%,6,100.0%,30,-9.1%,4,-20.0%,,1,0.0%,9,-40.0%,,1,0.0%,139,-11.5%,
,226,1.8%,4,33.3%,25,25.0%,2,-33.3%,,,,10,-33.3%,,1,-50.0%,268,1.1%,
,150,11.9%,2,100.0%,18,38.5%,3,0.0%,,1,0.0%,19,0.0%,,,,193,12.9%,
,473,7.5%,17,41.7%,107,42.7%,32,10.3%,,3,200.0%,8,0.0%,,1,-66.7%,641,12.9%,
,127,0.0%,14,0.0%,41,5.1%,12,20.0%,,0,-100.0%,9,-25.0%,,2,100.0%,205,1.0%,
,134,5.5%,2,0.0%,15,15.4%,3,200.0%,,2,0.0%,10,-9.1%,,2,0.0%,168,6.3%,
,292,1.4%,12,33.3%,32,3.2%,3,0.0%,,3,-50.0%,32,-3.0%,,2,-33.3%,376,0.8%,
,127,-5.9%,4,100.0%,9,28.6%,2,-33.3%,,3,50.0%,21,31.3%,,2,0.0%,168,0.6%,
,405,-6.9%,9,125.0%,66,20.0%,5,150.0%,,5,-28.6%,17,6.3%,,0,-100.0%,507,-2.7%,
