Texas A&M University,,,,,,,,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,,,,,,,,
Headcount by College by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,
Spring 2008,,,,,,,,,,,,,,,,,,,
Enrollment Profile – Spring 2008 Official Certified 12th Class Day Data,,,,,,,,,,,,,,,,,,,
"Spring 2008
Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Grand Total",International,,Black,,Am. Indian,,Asian,,Hispanic,,White,,Unknown/Other,,,Grand Total,,"Total
6,331
1,801
4,717
5,223
8,981
265
738
6,534
2,723
2,231
3,804
403
43,751",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,Female,Male,,
,153,179,93,106,24,14,81,62,374,299,"2,354","2,566",12,,14,"3,091","3,240",,
,83,128,11,17,5,6,29,29,53,141,387,904,3,,5,571,"1,230",,
,67,97,66,40,11,10,102,104,241,206,"1,921","1,835",5,,12,"2,413","2,304",,
,91,46,166,84,14,10,66,30,421,184,"3,084","1,006",13,,8,"3,855","1,368",,
,330,"1,413",54,153,8,26,89,335,202,756,941,"4,649",3,,22,"1,627","7,354",,
,8,11,5,6,,1,3,3,7,13,76,128,1,,3,100,165,,
,44,73,3,4,1,3,3,11,23,29,207,331,1,,5,282,456,,
,84,109,168,60,35,10,121,80,526,363,"2,939","2,008",13,,18,"3,886","2,648",,
,118,223,50,28,9,10,126,135,166,157,891,804,1,,5,"1,361","1,362",,
,17,18,38,13,7,3,116,60,187,89,"1,163",510,8,,2,"1,536",695,,
,7,20,85,80,11,17,71,115,234,312,"1,201","1,649",1,,1,"1,610","2,194",,
,107,107,6,3,,,8,2,7,9,80,69,4,,1,212,191,,
,"1,109","2,424",745,594,125,110,815,966,"2,441","2,558","15,244","16,459",65,,96,"20,544","23,207",,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,
