"Spring 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
GACD MARB MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
186
51
192
241
68
738
238
471
1,034
544
753
35
119
737
110
870
73
1,129
421
6,534
1,504
485
1
371
241
121
2,723
2,121
36
4
5
44
21
2,231
3,804
3,804
14
310
1
2
1
54
21
403
43,751",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,52,81,,1,10,15,,,,,7,17,,3,69,117,,
,20,24,,,2,1,,2,,,1,,1,,24,27,,
,52,92,1,2,7,5,1,5,,2,9,15,,1,70,122,,
,61,119,1,1,3,7,2,3,1,1,15,26,,1,83,158,,
,22,15,1,,1,1,,1,,,12,15,,,36,32,,
,207,331,3,4,23,29,3,11,1,3,44,73,1,5,282,456,,
,105,71,3,1,18,9,5,3,2,1,7,9,1,3,141,97,,
,232,119,6,4,57,22,15,3,4,,3,4,1,1,318,153,,
,673,214,20,4,68,18,9,5,7,1,6,6,3,,786,248,,
,71,279,,4,18,48,7,20,2,1,29,64,,1,127,417,,
,463,124,26,6,57,21,15,8,4,1,16,12,,,581,172,,
,13,11,,3,1,2,1,,2,,1,1,,,18,17,,
,43,15,,,31,25,2,,,,1,2,,,77,42,,
,231,385,9,7,21,61,4,6,3,3,1,1,,5,269,468,,
,20,72,,,1,9,1,2,1,1,,1,1,1,24,86,,
,248,405,28,12,58,72,14,16,,1,7,5,1,3,356,514,,
,27,20,3,1,9,12,1,,,,,,,,40,33,,
,612,222,42,6,137,41,33,13,8,,6,2,5,2,843,286,,
,201,71,31,12,50,23,14,4,2,1,7,2,1,2,306,115,,
,"2,939","2,008",168,60,526,363,121,80,35,10,84,109,13,18,"3,886","2,648",,
,597,395,36,16,122,97,95,98,4,5,27,11,,1,881,623,,
,124,151,10,5,25,24,17,14,2,4,33,73,1,2,212,273,,
,1,,,,,,,,,,,,,,1,,,
,134,124,4,3,16,19,9,4,1,,16,41,,,180,191,,
,16,104,,2,3,15,2,17,2,1,12,66,,1,35,206,,
,19,30,,2,,2,3,2,,,30,32,,1,52,69,,
,891,804,50,28,166,157,126,135,9,10,118,223,1,5,"1,361","1,362",,
,"1,114",497,36,12,184,86,113,59,6,3,1,2,7,1,"1,461",660,,
,20,3,,,,,1,,1,,7,4,,,29,7,,
,4,,,,,,,,,,,,,,4,,,
,1,,,,,1,,,,,1,2,,,2,3,,
,17,7,2,,3,2,2,,,,5,5,1,,30,14,,
,7,3,,1,,,,1,,,3,5,,1,10,11,,
,"1,163",510,38,13,187,89,116,60,7,3,17,18,8,2,"1,536",695,,
,"1,201","1,649",85,80,234,312,71,115,11,17,7,20,1,1,"1,610","2,194",,
,"1,201","1,649",85,80,234,312,71,115,11,17,7,20,1,1,"1,610","2,194",,
,1,,,,,,,1,,,6,4,2,,9,5,,
,67,63,4,3,6,8,5,1,,,75,76,2,,159,151,,
,,,,,,,1,,,,,,,,1,,,
,2,,,,,,,,,,,,,,2,,,
,1,,,,,,,,,,,,,,1,,,
,,1,,,,1,1,,,,25,25,,1,26,28,,
,9,5,2,,1,,1,,,,1,2,,,14,7,,
,80,69,6,3,7,9,8,2,,,107,107,4,1,212,191,,
,"15,244","16,459",745,594,"2,441","2,558",815,966,125,110,"1,109","2,424",65,96,"20,544","23,207",,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,
