Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              AGBU
Special              BIOT
Populations       ENSM
FSTC GACD GENE MARB MARM MDSC MEPS MSEN NUTR PHLT REEP TOXI WMHS",,"1
2
46","100.0%
100.0%
-8.0%","29
26
8
20
20
1
14
7
13
21
21
8
8
14","61.1%
30.0%
-42.9%
53.8%
53.8%
0.0%
180.0%
-12.5%
225.0%
31.3%
50.0%
14.3%
166.7%
7.7%","19
37
21
30
11
15
11","-13.6%
-7.5%
-16.0%
20.0%
-15.4%
-37.5%
22.2%",,,"29
26
8
39
1
57
2
1
14
28
43
32
21
54
23
25","61.1%
30.0%
-42.9%
11.4%
100.0%
7.5%
100.0%
0.0%
180.0%
-15.2%
48.3%
10.3%
50.0%
-5.3%
-14.8%
13.6%",
,Subtotal,49,-2.0%,210,40.9%,144,-8.9%,,,403,12.9%,
Total,,"35,024",3.0%,"4,971",12.7%,"3,251",-6.2%,505,0.0%,"43,751",3.2%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
