"Spring 2008
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD GACD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
2
4
1
1
1
3
1
4
1
19
48
7
4
3
62
31
31
94
94
301","Sophomore
1
1
1
5
5
3
8
3
1
8
16
4
54
53
4
1
58
29
29
79
79
1
1
2
400","Junior
3
1
4
2
4
10
5
1
1
1
12
14
5
55
46
2
2
3
53
36
36
13
13
399","Senior
1
3
2
6
1
7
4
11
6
5
1
5
8
4
52
44
6
2
4
56
58
58
445","PB
1","Total
2
6
4
12
5
18
13
25
20
1
1
10
2
28
1
42
14
180
191
19
9
10
229
154
154
186
186
1
1
2
1,546",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,1,1,1,18,18,2,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,1,,1,1,1,,,14,
,,,,,,,,,2,1,1,,,8,
,,,,,,,,,,,,,,18,
,,,,,,,,,,1,1,,,14,
,,,,,,,,1,1,1,1,,,27,
,,,,,,,1,1,2,1,1,,,23,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,10,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,2,2,,,30,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,3,3,,,46,
,,,,,,,,2,2,2,2,,,18,
,,,,,,,1,9,10,11,11,,,201,
,,,,,,,,1,1,1,1,,,193,
,,,,,,,,4,4,8,8,,,31,
,,,,,,,2,1,3,1,1,,,13,
,,,,,,,,3,3,6,6,,,19,
,,,,,,,,4,4,1,1,,,5,
,,,,,,,2,13,15,17,17,,,261,
,,,,,,,,,,,,,,172,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,2,2,18,18,176,
,,,,,,,,,,,,,,186,
,,,,,,,,,,,,,,186,
,,,,,,,1,,1,,,,,1,
,,,,,,,,2,2,4,4,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,2,2,4,4,4,,,10,
,,,,,,,16,123,139,78,78,18,18,"1,781",
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
