"Spring 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
GACD MARB MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,133,-8.9%,1,-66.7%,25,78.6%,0,-100.0%,,,,24,-4.0%,,3,50.0%,186,-3.6%,
,44,-2.2%,,,3,-25.0%,2,0.0%,,,,1,100.0%,,1,100.0%,51,0.0%,
,144,-7.7%,3,50.0%,12,9.1%,6,-25.0%,,2,-33.3%,24,4.3%,,1,-50.0%,192,-6.3%,
,180,19.2%,2,100.0%,10,-16.7%,5,150.0%,,2,0.0%,41,2.5%,,1,0.0%,241,15.9%,
,37,0.0%,1,100.0%,2,-50.0%,1,0.0%,,,,27,12.5%,,,,68,3.0%,
,538,0.6%,7,40.0%,52,15.6%,14,-12.5%,,4,-20.0%,117,4.5%,,6,20.0%,738,2.1%,
,176,-1.1%,4,100.0%,27,17.4%,8,0.0%,,3,200.0%,16,-5.9%,,4,0.0%,238,2.1%,
,351,1.7%,10,0.0%,79,-7.1%,18,20.0%,,4,0.0%,7,16.7%,,2,0.0%,471,0.9%,
,887,5.0%,24,41.2%,86,3.6%,14,40.0%,,8,33.3%,12,20.0%,,3,-50.0%,"1,034",5.8%,
,350,-4.6%,4,-55.6%,66,10.0%,27,-6.9%,,3,50.0%,93,-1.1%,,1,-66.7%,544,-3.5%,
,587,-9.4%,32,-15.8%,78,25.8%,23,4.5%,,5,25.0%,28,-3.4%,,0,-100.0%,753,-6.3%,
,24,20.0%,3,200.0%,3,200.0%,1,-50.0%,,2,0.0%,2,100.0%,,0,-100.0%,35,29.6%,
,58,-1.7%,,,56,16.7%,2,100.0%,,,,3,-25.0%,,,,119,6.3%,
,616,-1.4%,16,6.7%,82,24.2%,10,25.0%,,6,200.0%,2,-33.3%,,5,-16.7%,737,1.7%,
,92,-10.7%,0,-100.0%,10,-23.1%,3,-40.0%,,2,100.0%,1,-50.0%,,2,0.0%,110,-13.4%,
,653,-7.9%,40,8.1%,130,-3.0%,30,20.0%,,1,0.0%,12,-25.0%,,4,0.0%,870,-6.0%,
,47,-14.5%,4,-42.9%,21,61.5%,1,0.0%,,,,,,,,,73,-3.9%,
,834,3.5%,48,2.1%,178,13.4%,46,27.8%,,8,14.3%,8,-11.1%,,7,133.3%,"1,129",6.0%,
,272,-2.5%,43,38.7%,73,9.0%,18,38.5%,,3,50.0%,9,-18.2%,,3,50.0%,421,4.0%,
,"4,947",-1.8%,228,6.0%,889,9.5%,201,14.9%,,45,40.6%,193,-4.0%,,31,-8.8%,"6,534",0.4%,
,992,-6.1%,52,-8.8%,219,4.8%,193,7.2%,,9,12.5%,38,-15.6%,,1,-50.0%,"1,504",-3.4%,
,275,-3.2%,15,-11.8%,49,-7.5%,31,3.3%,,6,100.0%,106,5.0%,,3,0.0%,485,-1.2%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,258,3.2%,7,16.7%,35,20.7%,13,44.4%,,1,-50.0%,57,18.8%,,0,-100.0%,371,6.9%,
,120,0.8%,2,0.0%,18,-18.2%,19,18.8%,,3,0.0%,78,-9.3%,,1,0.0%,241,-3.2%,
,49,58.1%,2,100.0%,2,100.0%,5,0.0%,,,,62,17.0%,,1,0.0%,121,31.5%,
,"1,695",-2.6%,78,-6.0%,323,2.9%,261,8.8%,,19,18.8%,341,2.4%,,6,-40.0%,"2,723",-0.5%,
,"1,611",0.1%,48,9.1%,270,-7.2%,172,1.8%,,9,-25.0%,3,0.0%,,8,0.0%,"2,121",-0.7%,
,23,-8.0%,,,,,1,-66.7%,,1,0.0%,11,22.2%,,,,36,-5.3%,
,4,0.0%,,,0,-100.0%,,,,,,,,,,,4,-20.0%,
,1,0.0%,,,1,100.0%,,,,,,3,200.0%,,,,5,150.0%,
,24,-25.0%,2,-33.3%,5,-28.6%,2,100.0%,,0,-100.0%,10,-44.4%,,1,0.0%,44,-30.2%,
,10,42.9%,1,0.0%,,,1,0.0%,,,,8,-20.0%,,1,100.0%,21,10.5%,
,"1,673",-0.3%,51,6.3%,276,-7.7%,176,1.1%,,10,-28.6%,35,-14.6%,,10,11.1%,"2,231",-1.4%,
,"2,850",19.4%,165,17.0%,546,20.5%,186,33.8%,,28,16.7%,27,35.0%,,2,-66.7%,"3,804",20.0%,
,"2,850",19.4%,165,17.0%,546,20.5%,186,33.8%,,28,16.7%,27,35.0%,,2,-66.7%,"3,804",20.0%,
,1,0.0%,,,,,1,100.0%,,,,10,150.0%,,2,100.0%,14,180.0%,
,130,10.2%,7,16.7%,14,16.7%,6,-25.0%,,,,151,12.7%,,2,0.0%,310,10.7%,
,,,,,,,1,100.0%,,,,,,,,,1,100.0%,
,2,100.0%,,,,,,,,,,,,,,,2,100.0%,
,1,0.0%,,,,,,,,,,,,,,,1,0.0%,
,1,100.0%,,,1,100.0%,1,100.0%,,,,50,-12.3%,,1,100.0%,54,-5.3%,
,14,40.0%,2,100.0%,1,100.0%,1,100.0%,,,,3,50.0%,,0,-100.0%,21,50.0%,
,149,14.6%,9,28.6%,16,33.3%,10,25.0%,,,,214,8.6%,,5,66.7%,403,12.9%,
,"31,703",2.0%,"1,339",5.8%,"4,999",7.7%,"1,781",10.7%,,235,8.8%,"3,533",4.4%,,161,-9.0%,"43,751",3.2%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,
