Top 10,,,,,,,,,
Spring 2008 Feeder Patterns Undergraduate Transfer,,,,,,,,,
State        Students  % Total,,,,,,,,,
Texas,739,,,93.5%,,,,,
Missouri,3,,,0.4%,,,,,
New Mexico,3,,,0.4%,,,,,
North Carolin,2,,,0.3%,,,,,
Washington,2,,,0.3%,,,,,
West Virginia,1,,,0.1%,,,,,
New York,1,,,0.1%,,,,,
Montana,1,,,0.1%,,,,,
Massachusett,1,,,0.1%,,,,,
Colorado,1,,,0.1%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,756,,,,95.7%,,
Malaysia,,,6,,,,0.8%,,
Kazakhstan,,,5,,,,0.6%,,
Indonesia,,,4,,,,0.5%,,
"China, People's Rep of",,,2,,,,0.3%,,
India,,,2,,,,0.3%,,
Honduras,,,2,,,,0.3%,,
Mexico,,,2,,,,0.3%,,
Costa Rica,,,1,,,,0.1%,,
Canada,,,1,,,,0.0%,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,132,,,16.7%,,,,
Harris,,119,,,15.1%,,,,
Montgomery,,37,,,4.7%,,,,
Fort Bend,,33,,,4.2%,,,,
Dallas,,31,,,3.9%,,,,
Tarrant,,31,,,3.9%,,,,
Bexar,,29,,,3.7%,,,,
Williamson,,21,,,2.7%,,,,
Collin,,20,,,2.5%,,,,
Travis,,16,,,2.0%,,,,
