"Spring 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
13
2
10
4
2
1
11
3
1
2
6
59
13
8
2
23
58
58
10
30
16
56
27
6
17
12
25
16
7
9
27
6
5
157","Sophomore
4
13
22
3
11
12
5
7
4
18
7
3
1
10
120
15
9
10
34
93
93
1
10
38
22
71
27
10
21
21
30
29
21
16
20
5
10
210","Junior
14
22
24
6
10
27
7
5
10
38
12
2
12
5
13
207
35
2
16
6
59
27
33
25
13
20
21
139
20
17
67
29
133
18
6
24
13
41
33
34
29
22
4
10
234","Senior
11
37
26
8
11
9
11
5
4
39
15
7
12
1
13
209
19
32
6
57
28
1
30
10
22
20
111
27
1
36
71
30
165
15
14
20
16
46
23
49
31
35
5
11
265","PB
1
1
1
3
2
1
1
4","Total
33
72
86
19
42
53
25
18
18
107
37
13
27
6
42
598
82
2
65
24
173
55
185
55
23
42
41
401
48
1
73
206
97
425
87
36
82
62
144
102
111
85
104
21
36
870",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,,,36,
,,,,,,,,4,4,5,5,,,81,
,,,,,,,,4,5,1,1,,,92,
,,,,,,,,1,1,,,,,20,
,,,,,,,,,,6,6,,,48,
,,,,,,,,,,,,,,53,
,,,,,,,,4,4,1,1,,,30,
,,,,,,,,5,5,2,2,,,25,
,,,,,,,,,,,,,,18,
,,,,,,,,,,,,,,107,
,,,,,,,,3,3,1,1,,,41,
,,,,,,,,1,1,1,1,,,15,
,,,,,,,,4,4,1,1,,,32,
,,,,,,,,1,1,2,2,,,9,
,,,,,,,2,11,13,11,11,,,66,
,,,,,,,3,40,43,32,32,,,673,
,,,,,,,,5,5,2,2,,,89,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,67,
,,,,,,,,4,4,1,1,,,29,
,,,,,,,,7,7,,,,,7,
,,,,,,,,18,18,3,3,,,194,
,,,,,,,,12,12,,,,,67,
,,,,,,,,14,14,,,,,199,
,,,,,,,,14,14,,,,,69,
,,,,,,,,2,2,,,,,25,
,,,,,,,,3,3,1,1,,,46,
,,,,,,,,,,,,,,41,
,,,,,,,,45,45,1,1,,,447,
,,,,,,,,,,,,,,48,
,,,,,,,4,16,20,65,65,,,86,
,,,,,,,2,19,21,25,25,,,119,
,,,,,,,,6,6,3,3,,,215,
,,,,,,,3,19,22,18,18,,,137,
,,,,,,,9,60,69,111,111,,,605,
,,,,,,,,4,4,3,3,,,94,
,,,,,,,,1,1,2,2,,,39,
,,,,,,,,1,1,2,2,,,85,
,,,,,,,,7,7,4,4,,,73,
,,,,,,,,6,6,1,1,,,151,
,,,,,,,,7,7,6,6,,,115,
,,,,,,,,4,4,,,,,115,
,,,,,,,,3,3,4,4,,,92,
,,,,,,,,13,13,3,3,,,120,
,,,,,,,,5,5,2,2,,,28,
,,,,,,,1,7,8,2,2,,,46,
,,,,,,,1,58,59,29,29,,,958,
,,,,,,,11,9,20,,,,,20,
,,,,,,,11,9,20,,,,,20,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
