"Spring 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
49
38
72
15
29
16
11
5
51
7
16
8
5
23
345
60
40
18
118
441
441
9
14
161
178
362
97
51
83
69
120
68
36
36
128
36
71
795","Sophomore
113
126
121
45
38
64
13
46
24
98
12
30
48
15
69
862
82
78
32
192
3
677
2
3
685
25
37
322
203
587
113
66
125
101
185
111
120
60
208
48
105
1,242","Junior
175
257
185
59
52
124
17
65
52
137
41
32
83
28
88
1,395
118
9
148
27
302
281
147
301
52
115
198
1,094
95
3
34
495
336
963
94
43
126
92
189
102
203
75
204
33
101
1,262","Senior
190
325
244
98
72
71
21
64
54
187
58
41
120
37
113
1,695
162
1
274
57
494
237
14
262
59
143
265
980
155
4
63
634
502
1,358
94
84
117
140
288
154
330
83
283
48
108
1,729","PB
1
1
3
2
4
1
1
1
1
1
16
3
3
3
13
16
1
1
3
2
2
3
1
4
17","Total
528
747
622
220
193
279
52
186
136
473
118
120
260
85
294
4,313
422
10
543
134
1,109
521
1,279
565
111
258
466
3,200
284
7
148
1,615
1,232
3,286
399
244
452
405
784
437
692
255
827
165
385
5,045",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,33,36,13,13,,,577,
,,,,,,,,59,59,30,30,,,836,
,,,,,,,8,68,76,21,21,,,719,
,,,,,,,,11,11,7,7,,,238,
,,,,,,,,21,21,24,24,,,238,
,,,,,,,1,9,10,1,1,,,290,
,,,,,,,1,22,23,13,13,,,88,
,,,,,,,1,30,31,9,9,,,226,
,,,,,,,1,9,10,4,4,,,150,
,,,,,,,,,,,,,,473,
,,,,,,,,5,5,4,4,,,127,
,,,,,,,2,9,11,3,3,,,134,
,,,,,,,2,18,20,12,12,,,292,
,,,,,,,,25,25,17,17,,,127,
,,,,,,,7,69,76,35,35,,,405,
,,,,,,,26,388,414,193,193,,,"4,920",
,,,,,,,2,54,56,11,11,,,489,
,,,,,,,,,,,,,,10,
,,,,,,,1,17,18,,,,,561,
,,,,,,,1,47,48,10,10,,,192,
,,,,,,,,39,39,,,,,39,
,,,,,,,4,157,161,21,21,,,"1,291",
,,,,,,,,125,125,14,14,,,660,
,,,,,,,,118,118,,,,,"1,397",
,,,,,,,,179,179,5,5,,,749,
,,,,,,,,42,42,1,1,,,154,
,,,,,,,,24,24,6,6,,,288,
,,,,,,,,38,38,4,4,,,508,
,,,,,,,,526,526,30,30,,,"3,756",
,,,,,,,,,,,,,,284,
,,,,,,,11,87,98,163,163,,,268,
,,,,,,,2,78,80,88,88,,,316,
,,,,,,,,68,68,18,18,,,"1,701",
,,,,,,,28,166,194,95,95,,,"1,521",
,,,,,,,41,399,440,364,364,,,"4,090",
,,,,,,,,36,36,15,15,,,450,
,,,,,,,,14,14,11,11,,,269,
,,,,,,,,15,15,10,10,,,477,
,,,,,,,,,,5,5,,,5,
,,,,,,,,37,37,27,27,,,469,
,,,,,,,,72,72,15,15,,,871,
,,,,,,,1,42,43,13,13,,,493,
,,,,,,,,16,16,,,,,708,
,,,,,,,,17,17,5,5,,,277,
,,,,,,,2,67,69,20,20,,,916,
,,,,,,,,48,48,14,14,,,227,
,,,,,,,9,29,38,5,5,,,428,
,,,,,,,12,393,405,140,140,,,"5,590",
,,,,,,,89,115,204,,,,,204,
,,,,,,,89,115,204,,,,,204,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
