Students by Country by Level,,,,,,
Spring 2008,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Germany,4,5,7,,16,
Ghana,,2,1,,3,
Greece,,3,2,,5,
Grenada,1,,,,1,
Guatemala,7,7,6,,20,
Honduras,6,3,,,9,
Hong Kong,5,2,3,,10,
Hungary,1,,,,1,
Iceland,,,1,,1,
India,57,646,209,,912,
Indonesia,19,24,11,,54,
Iran,2,15,33,,50,
Iraq,1,3,1,,5,
Ireland,,,1,,1,
Israel,2,,,,2,
Italy,1,6,3,,10,
Jamaica,4,4,3,,11,
Japan,7,9,15,,31,
Jordan,2,6,2,,10,
Kazakhstan,38,19,1,,58,
Kenya,,4,,,4,
"Korea, Republic of",16,160,301,,477,
Kuwait,1,,3,,4,
Latvia,1,,,,1,
Lebanon,,4,4,,8,
Liberia,1,,,,1,
Macao,,1,,,1,
Macedonia,,,2,,2,
Malaysia,22,4,3,,29,
Mali,,,1,,1,
Mauritius,1,,1,,2,
Mexico,29,36,50,,115,
Mongolia,1,,1,,2,
Morocco,2,1,,,3,
Nepal,12,12,3,,27,
Netherlands,1,2,1,,4,
New Zealand,1,1,,,2,
Nicaragua,6,1,,,7,
Niger,,,1,,1,
Nigeria,16,27,11,,54,
Norway,1,3,1,,5,
Oman,,1,3,,4,
Other Foreign or US,,1,,,1,
Pakistan,6,15,8,,29,
Panama,7,5,,,12,
