Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,138,29.0%,4,-33.3%,60,5.3%,,,138,29.0%,
,AGBU,109,18.5%,,,,,,,113,15.3%,
,AGCJ,107,44.6%,,,,,,,107,44.6%,
,AGEC,330,0.6%,57,32.6%,,,,,447,4.4%,
,AGED,,,53,12.8%,47,-13.0%,,,100,-1.0%,
,AGEN,50,-46.2%,,,,,,,50,-46.2%,
,AGLS,382,12.4%,,,,,,,382,12.4%,
,AGRO,97,-1.0%,14,-26.3%,15,25.0%,,,126,-2.3%,
,AGSC,98,3.2%,,,,,,,98,3.2%,
,AGSM,136,-1.4%,0,-100.0%,,,,,136,-2.9%,
,ALED,674,-6.4%,23,21.1%,,,,,697,-5.7%,
,ANBR,,,4,100.0%,0,-100.0%,,,4,33.3%,
,ANSC,728,-0.1%,69,21.1%,13,0.0%,,,810,1.4%,
,BAEN,64,166.7%,35,66.7%,20,-9.1%,,,119,77.6%,
,BESC,169,-2.3%,,,,,,,169,-2.3%,
,BICH,169,-1.2%,37,-5.1%,67,-9.5%,,,273,-3.9%,
,BSEN,5,-54.5%,,,,,,,5,-54.5%,
,CDEV,2,100.0%,,,,,,,2,100.0%,
,DASC,4,-20.0%,2,100.0%,,,,,6,0.0%,
,ECEN,,,0,-100.0%,,,,,0,-100.0%,
,ECOR,9,100.0%,,,,,,,9,100.0%,
,ENST,13,8.3%,,,,,,,13,8.3%,
,ENTO,83,-18.6%,28,40.0%,24,-27.3%,,,135,-12.9%,
,FISC,,,1,-50.0%,,,,,1,-50.0%,
,FIVL,4,100.0%,,,,,,,4,100.0%,
,FLOR,3,0.0%,1,-66.7%,,,,,4,-33.3%,
,FORS,20,-16.7%,7,-12.5%,7,-30.0%,,,34,-19.0%,
,FSTC,97,47.0%,1,0.0%,,,,,98,46.3%,
,GENE,125,-3.8%,,,1,-80.0%,,,126,-6.7%,
,HORT,159,16.9%,14,16.7%,15,-6.3%,,,188,14.6%,
,NRDV,,,8,-11.1%,,,,,8,-11.1%,
,NUSC,544,8.4%,,,,,,,544,8.4%,
,NUTR,,,3,100.0%,3,200.0%,,,6,500.0%,
,PLBR,,,11,-8.3%,11,22.2%,,,22,4.8%,
,PLPA,,,12,50.0%,11,-21.4%,,,23,4.5%,
,POSC,140,3.7%,15,36.4%,13,8.3%,,,168,6.3%,
,PPRO,,,0,-100.0%,,,,,0,-100.0%,
,PREP,,,10,0.0%,16,6.7%,,,26,4.0%,
,PSSC,3,200.0%,,,,,,,3,200.0%,
,RENR,27,17.4%,,,,,,,27,17.4%,
,RLEM,107,-11.6%,33,10.0%,14,-26.3%,,,154,-9.4%,
,RPTS,298,1.7%,35,20.7%,40,-16.7%,,,373,0.8%,
,SOSC,,,14,7.7%,7,40.0%,,,21,16.7%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
