Spring 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          CPSY
EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH HRDL HRDV INST ISNC KINE PHED SPMT SPSY TCMG TCML TECR USEH",,"22
176
288
291
583
526
248
22
85
99
13
120
15
14
785
253
293
5
205
25
1
7
13
1","10.0%
-5.9%
11.2%
117.2%
0.0%
-9.6%
-0.8%
120.0%
-12.4%
2.1%
-13.3%
-16.1%
100.0%
100.0%
-12.9%
-15.9%
0.3%
-16.7%
17.1%
4.2%
100.0%
100.0%
0.0%
100.0%","9
32
46
11
22
21
18
22
8
7
7
3
1
8
13
7
6
8
1","28.6%
-3.0%
27.8%
22.2%
4.8%
-8.7%
28.6%
15.8%
33.3%
40.0%
75.0%
100.0%
100.0%
-20.0%
-31.6%
-41.7%
50.0%
14.3%
0.0%","8
55
40
49
72
74
32
4
30
21
1
14
2
4
98
41
28
17
13
1
1
0","60.0%
10.0%
-7.0%
122.7%
12.5%
7.2%
28.0%
300.0%
11.1%
16.7%
0.0%
-17.6%
100.0%
100.0%
-7.5%
-26.8%
-15.2%
-5.6%
18.2%
100.0%
100.0%
-100.0%","3
1
8
10
10
12
4
4
2
0
1
13
12
7
3
4
1
1","50.0%
0.0%
-11.1%
150.0%
-9.1%
-7.7%
100.0%
33.3%
-33.3%
-100.0%
100.0%
8.3%
9.1%
250.0%
50.0%
0.0%
100.0%
100.0%","3
3
1
2
0
2
1
1
3
3
3
1
1","50.0%
50.0%
-66.7%
100.0%
-100.0%
100.0%
0.0%
100.0%
100.0%
0.0%
0.0%
100.0%
0.0%","2
4
40
1
1
1
0
8
14
28
3
1
4
2
25
1
1
1","0.0%
-50.0%
5.3%
-50.0%
-50.0%
100.0%
-100.0%
60.0%
-30.0%
3.7%
-40.0%
100.0%
100.0%
100.0%
31.6%
100.0%
-50.0%
0.0%","1
3
1
1
2
1
2
0
3
4
3
0","0.0%
0.0%
-66.7%
-66.7%
-33.3%
100.0%
100.0%
-100.0%
200.0%
100.0%
50.0%
-100.0%","45
274
426
363
691
636
305
34
157
157
27
145
21
19
914
328
364
6
233
51
3
9
14
1","21.6%
-3.5%
9.2%
108.6%
0.9%
-8.0%
4.5%
112.5%
-6.0%
5.4%
-6.9%
-13.2%
100.0%
100.0%
-11.7%
-16.5%
1.1%
0.0%
14.8%
8.5%
100.0%
100.0%
-12.5%
100.0%",
,Subtotal,"4,090",0.0%,250,8.7%,605,6.5%,96,18.5%,24,41.2%,137,1.5%,21,0.0%,"5,223",1.6%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
