Spring 2008,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Business,ACCT,9,,1,1,634,5,33,1,116,1,4,16,,801,
Admin,AGBU,,,,,8,,,,,,,,,8,
,BUAD,,,,4,"1,545",,,,87,,,,,"1,645",
,BUAG,,,,,2,,,,,,,,,2,
,EMBA,,,,,,,,,97,,,,,97,
,FINC,,,,1,673,,40,,118,,,13,,845,
,INFO,,,,2,152,,,,,,,4,,158,
,MGMT,,,,4,314,,,,36,,,16,,370,
,MISY,,,,,,,9,,103,,,,,112,
,MKTG,,,,4,533,,6,,39,,,14,,596,
,MLER,,,,,,,18,,42,,,,,60,
,USBU,,,,1,22,,,,,,,,,23,
,Subtotal,9,,1,17,"3,883",,106,,638,,,63,,"4,717",
Education,CPSY,,,,,,,,,7,,,38,,45,
,EDAD,,,,,,,4,,66,,,194,,274,
,EDCI,,,,,,3,53,,189,7,,173,,426,
,EDHL,,,12,2,349,,,,,,,,,363,
,EDIS,1,,40,3,647,,,,,,,,,691,
,EDKI,1,,17,4,614,,,,,,,,,636,
,EDSM,,,11,1,293,,,,,,,,,305,
,EDTC,,,,,,1,9,1,23,,,,,34,
,EHRD,,,,,,4,14,,49,3,2,85,,157,
,EPSY,,,,,,1,3,,69,,1,83,,157,
,HEED,,,,,,,3,,10,,,14,,27,
,HLTH,,,,1,144,,,,,,,,,145,
,HRDL,,,11,,10,,,,,,,,,21,
,HRDV,,,,,19,,,,,,,,,19,
,INST,,,15,3,896,,,,,,,,,914,
,ISNC,,,1,3,324,,,,,,,,,328,
,KINE,,,,,258,,5,1,72,1,,27,,364,
,PHED,,,,,,,1,,3,,,2,,6,
,SPMT,,,,,233,,,,,,,,,233,
,SPSY,,,,,,,,,7,,,44,,51,
,TCMG,,,,,3,,,,,,,,,3,
,TCML,,,5,,4,,,,,,,,,9,
,TECR,,,,,13,,,,1,,,,,14,
,USEH,,,,,1,,,,,,,,,1,
,Subtotal,2,,112,17,"3,808",14,92,3,496,12,7,660,,"5,223",
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,
