Top 10,,,,,,,,
Spring 2008  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,382,,,71.7%,,
India,,,54,,,10.1%,,
"China, People's Rep of",,,23,,,4.3%,,
"Korea, Republic of",,,10,,,1.9%,,
Mexico,,,6,,,1.1%,,
Iran,,,5,,,0.9%,,
Brazil,,,4,,,0.8%,,
Venezuela,,,4,,,0.8%,,
Nigeria,,,3,,,0.6%,,
Taiwan,,,3,,,0.6%,,
State,Students  % Total,,,,,,,
Texas,344,,,64.5%,,,,
Florida,8,,,1.5%,,,,
California,5,,,0.9%,,,,
Georgia,4,,,0.8%,,,,
Delaware,2,,,0.4%,,,,
Louisiana,2,,,0.4%,,,,
Missouri,2,,,0.4%,,,,
Alabama,1,,,0.2%,,,,
Kansas,1,,,0.2%,,,,
Iowa,1,,,0.2%,,,,
Texas County   Students  % Total,,,,,,,,
Brazos,,71,,,13.3%,,,
Harris,,60,,,11.3%,,,
Fort Bend,,19,,,3.6%,,,
Bexar,,15,,,2.8%,,,
Dallas,,14,,,2.6%,,,
Tarrant,,9,,,1.7%,,,
Montgomery,,8,,,1.5%,,,
Collin,,7,,,1.3%,,,
McLennan,,7,,,1.3%,,,
Nueces,,7,,,1.3%,,,
